Date, Open, High, Low, Close, Volume
09/12/23, 179.49, 180.13, 174.82, 176.30, 90370195
09/11/23, 180.07, 180.30, 177.34, 179.36, 58953047
09/08/23, 178.35, 180.239, 177.79, 178.18, 65602070
09/07/23, 175.18, 178.21, 173.54, 177.56, 112488797
09/06/23, 188.40, 188.85, 181.47, 182.91, 81755820
09/05/23, 188.28, 189.98, 187.61, 189.70, 45280031
09/01/23, 189.485, 189.92, 188.28, 189.46, 45766500
08/31/23, 187.84, 189.12, 187.48, 187.87, 60794473
08/30/23, 184.94, 187.85, 184.74, 187.65, 60813887
08/29/23, 179.695, 184.90, 179.50, 184.12, 53003953
08/28/23, 180.09, 180.59, 178.545, 180.19, 43820699
08/25/23, 177.38, 179.15, 175.82, 178.61, 51449594
08/24/23, 180.674, 181.104, 176.01, 176.38, 54945801
08/23/23, 178.52, 181.55, 178.325, 181.12, 52722754
08/22/23, 177.06, 177.68, 176.25, 177.23, 42084246
08/21/23, 175.07, 176.13, 173.735, 175.84, 46311879
08/18/23, 172.30, 175.10, 171.96, 174.49, 61172152
08/17/23, 177.14, 177.5054, 173.48, 174.00, 66062883
08/16/23, 177.13, 178.54, 176.50, 176.57, 46964859
08/15/23, 178.88, 179.48, 177.05, 177.45, 43622594
08/14/23, 177.97, 179.69, 177.305, 179.46, 43675633
08/11/23, 177.32, 178.62, 176.55, 177.79, 52036672
08/10/23, 179.48, 180.75, 177.60, 177.97, 54686848
08/09/23, 180.87, 180.93, 177.01, 178.19, 60378488
08/08/23, 179.69, 180.27, 177.58, 179.80, 67823000
08/07/23, 182.13, 183.13, 177.35, 178.85, 97576070
08/04/23, 185.52, 187.38, 181.92, 181.99, 115956797
08/03/23, 191.57, 192.37, 190.69, 191.17, 62243281
08/02/23, 195.04, 195.18, 191.8507, 192.58, 50389328
08/01/23, 196.235, 196.73, 195.28, 195.605, 35281434
07/31/23, 196.06, 196.49, 195.26, 196.45, 38824113
07/28/23, 194.67, 196.626, 194.14, 195.83, 48291441
07/27/23, 196.02, 197.20, 192.55, 193.22, 47460180
07/26/23, 193.67, 195.64, 193.32, 194.50, 47471871
07/25/23, 193.33, 194.44, 192.915, 193.62, 37283199
07/24/23, 193.41, 194.91, 192.25, 192.75, 45505102
07/21/23, 194.10, 194.97, 191.23, 191.94, 71951680
07/20/23, 195.09, 196.47, 192.495, 193.13, 59581199
07/19/23, 193.10, 198.23, 192.65, 195.10, 80507320
07/18/23, 193.35, 194.33, 192.415, 193.73, 48353770
07/17/23, 191.90, 194.32, 191.81, 193.99, 50520160
07/14/23, 190.23, 191.1799, 189.63, 190.69, 41616238
07/13/23, 190.50, 191.19, 189.78, 190.54, 41342340
07/12/23, 189.68, 191.70, 188.47, 189.77, 60750246
07/11/23, 189.16, 189.30, 186.60, 188.08, 46638121
07/10/23, 189.26, 189.99, 187.035, 188.61, 59922160
07/07/23, 191.41, 192.67, 190.24, 190.68, 46815000
07/06/23, 189.84, 192.02, 189.20, 191.81, 45156008
07/05/23, 191.565, 192.98, 190.62, 191.33, 46920262
07/03/23, 193.78, 193.88, 191.76, 192.46, 31346600
06/30/23, 191.63, 194.48, 191.26, 193.97, 85213219
06/29/23, 189.08, 190.07, 188.94, 189.59, 46347312
06/28/23, 187.93, 189.90, 187.60, 189.25, 51216801
06/27/23, 185.89, 188.39, 185.67, 188.06, 50730848
06/26/23, 186.83, 188.05, 185.23, 185.27, 48088660
06/23/23, 185.55, 187.56, 185.01, 186.68, 53117000
06/22/23, 183.74, 187.045, 183.67, 187.00, 51245328
06/21/23, 184.90, 185.41, 182.5901, 183.96, 49515699
06/20/23, 184.41, 186.10, 184.41, 185.01, 49799090
06/16/23, 186.73, 186.99, 184.27, 184.92, 101256203
06/15/23, 183.96, 186.52, 183.78, 186.01, 65433168
06/14/23, 183.37, 184.39, 182.02, 183.95, 57462879
06/13/23, 182.80, 184.15, 182.44, 183.31, 54929129
06/12/23, 181.27, 183.89, 180.97, 183.79, 54755000
06/09/23, 181.50, 182.23, 180.63, 180.96, 48899969
06/08/23, 177.895, 180.84, 177.46, 180.57, 50214879
06/07/23, 178.44, 181.21, 177.32, 177.82, 61944621
06/06/23, 179.965, 180.12, 177.43, 179.21, 64848367
06/05/23, 182.63, 184.951, 178.035, 179.58, 121946492
06/02/23, 181.03, 181.78, 179.26, 180.95, 61996910
06/01/23, 177.70, 180.12, 176.9306, 180.09, 68901805
05/31/23, 177.325, 179.35, 176.76, 177.25, 99625289
05/30/23, 176.96, 178.99, 176.57, 177.30, 55964398
05/26/23, 173.32, 175.77, 173.11, 175.43, 54834980
05/25/23, 172.41, 173.895, 171.69, 172.99, 56058262
05/24/23, 171.09, 172.4183, 170.52, 171.84, 45143488
05/23/23, 173.13, 173.3794, 171.275, 171.56, 50747262
05/22/23, 173.98, 174.71, 173.45, 174.20, 43570930
05/19/23, 176.39, 176.39, 174.94, 175.16, 55809480
05/18/23, 173.00, 175.24, 172.58, 175.05, 65496660
05/17/23, 171.71, 172.925, 170.4201, 172.69, 57951602
05/16/23, 171.99, 173.1383, 171.7991, 172.07, 42110289
05/15/23, 173.16, 173.21, 171.47, 172.07, 37266660
05/12/23, 173.62, 174.06, 171.00, 172.57, 45533141
05/11/23, 173.85, 174.59, 172.17, 173.75, 49514680
05/10/23, 173.02, 174.03, 171.90, 173.555, 53724500
05/09/23, 173.05, 173.54, 171.60, 171.77, 45326871
05/08/23, 172.48, 173.85, 172.11, 173.50, 55962793
05/05/23, 170.975, 174.30, 170.76, 173.57, 113453203
05/04/23, 164.89, 167.04, 164.31, 165.79, 81235430
05/03/23, 169.50, 170.92, 167.16, 167.45, 65136020
05/02/23, 170.09, 170.35, 167.54, 168.54, 48425699
05/01/23, 169.28, 170.45, 168.64, 169.59, 52472941
04/28/23, 168.49, 169.85, 167.8801, 169.68, 55275848
04/27/23, 165.19, 168.56, 165.19, 168.41, 64902328
04/26/23, 163.055, 165.28, 162.80, 163.76, 45498801
04/25/23, 165.19, 166.305, 163.73, 163.77, 48714059
04/24/23, 165.00, 165.60, 163.89, 165.33, 41949578
04/21/23, 165.05, 166.4521, 164.49, 165.02, 58337340
04/20/23, 166.09, 167.87, 165.56, 166.65, 52456379
04/19/23, 165.80, 168.16, 165.54, 167.63, 47720168
04/18/23, 166.10, 167.41, 165.65, 166.47, 49923008
04/17/23, 165.09, 165.39, 164.03, 165.23, 41516219
04/14/23, 164.59, 166.32, 163.82, 165.21, 49386480
04/13/23, 161.63, 165.80, 161.42, 165.56, 68445648
04/12/23, 161.22, 162.06, 159.78, 160.10, 50133059
04/11/23, 162.35, 162.36, 160.51, 160.80, 47644219
04/10/23, 161.42, 162.03, 160.08, 162.03, 47716879
04/06/23, 162.43, 164.9584, 162.00, 164.66, 45390121
04/05/23, 164.74, 165.05, 161.80, 163.76, 51511738
04/04/23, 166.595, 166.84, 165.11, 165.63, 46278301
04/03/23, 164.27, 166.29, 164.22, 166.17, 56976191
03/31/23, 162.44, 165.00, 161.91, 164.90, 68749789
03/30/23, 161.53, 162.47, 161.271, 162.36, 49501688
03/29/23, 159.37, 161.05, 159.35, 160.77, 51305688
03/28/23, 157.97, 158.49, 155.98, 157.65, 45992152
03/27/23, 159.94, 160.77, 157.87, 158.28, 52390273
03/24/23, 158.86, 160.34, 157.85, 160.25, 59256340
03/23/23, 158.83, 161.5501, 157.68, 158.93, 67622062
03/22/23, 159.30, 162.14, 157.81, 157.83, 75701805
03/21/23, 157.32, 159.40, 156.54, 159.28, 73938289
03/20/23, 155.07, 157.82, 154.15, 157.40, 73641422
03/17/23, 156.08, 156.74, 154.28, 155.00, 98944633
03/16/23, 152.16, 156.46, 151.64, 155.85, 76254414
03/15/23, 151.19, 153.245, 149.92, 152.99, 77167875
03/14/23, 151.28, 153.40, 150.10, 152.59, 73695891
03/13/23, 147.805, 153.14, 147.70, 150.47, 84457117
03/10/23, 150.21, 150.94, 147.6096, 148.50, 68572398
03/09/23, 153.559, 154.535, 150.225, 150.59, 53833578
03/08/23, 152.81, 153.47, 151.83, 152.87, 47204793
03/07/23, 153.70, 154.0299, 151.13, 151.60, 56182031
03/06/23, 153.785, 156.30, 153.46, 153.83, 87558031
03/03/23, 148.045, 151.11, 147.33, 151.03, 70732305
03/02/23, 144.38, 146.71, 143.90, 145.91, 52279762
03/01/23, 146.83, 147.2285, 145.01, 145.31, 55478992
02/28/23, 147.05, 149.08, 146.83, 147.41, 50547000
02/27/23, 147.71, 149.17, 147.45, 147.92, 44998473
02/24/23, 147.11, 147.19, 145.7202, 146.71, 55469609
02/23/23, 150.09, 150.34, 147.24, 149.40, 48394246
02/22/23, 148.87, 149.95, 147.16, 148.91, 51011312
02/21/23, 150.20, 151.30, 148.405, 148.48, 58867230
02/17/23, 152.35, 153.00, 150.85, 152.55, 59144121
02/16/23, 153.51, 156.33, 153.3475, 153.71, 68167938
02/15/23, 153.11, 155.50, 152.88, 155.33, 65669250
02/14/23, 152.12, 153.77, 150.86, 153.20, 61707566
02/13/23, 150.952, 154.26, 150.92, 153.85, 62199008
02/10/23, 149.46, 151.3401, 149.22, 151.01, 57450711
02/09/23, 153.775, 154.33, 150.42, 150.87, 56007141
02/08/23, 153.88, 154.58, 151.168, 151.92, 64120078
02/07/23, 150.64, 155.23, 150.64, 154.65, 83322555
02/06/23, 152.575, 153.10, 150.78, 151.73, 69858312
02/03/23, 148.03, 157.38, 147.83, 154.50, 154357297
02/02/23, 148.90, 151.18, 148.17, 150.82, 118339000
02/01/23, 143.97, 146.61, 141.32, 145.43, 77663633
01/31/23, 142.70, 144.34, 142.28, 144.29, 65874461
01/30/23, 144.955, 145.55, 142.85, 143.00, 64015273
01/27/23, 143.155, 147.23, 143.08, 145.93, 70555844
01/26/23, 143.17, 144.25, 141.90, 143.96, 54105070
01/25/23, 140.89, 142.43, 138.81, 141.86, 65799352
01/24/23, 140.305, 143.16, 140.30, 142.53, 66435141
01/23/23, 138.12, 143.315, 137.90, 141.11, 81760312
01/20/23, 135.28, 138.02, 134.22, 137.87, 80223633
01/19/23, 134.08, 136.25, 133.77, 135.27, 58280406
01/18/23, 136.815, 138.61, 135.03, 135.21, 69672797
01/17/23, 134.83, 137.29, 134.13, 135.94, 63646633
01/13/23, 132.03, 134.92, 131.66, 134.76, 57809719
01/12/23, 133.88, 134.26, 131.44, 133.41, 71379648
01/11/23, 131.25, 133.51, 130.46, 133.49, 69458953
01/10/23, 130.26, 131.2636, 128.12, 130.73, 63896160
01/09/23, 130.465, 133.41, 129.89, 130.15, 70790805
01/06/23, 126.01, 130.29, 124.89, 129.62, 87754719
01/05/23, 127.13, 127.77, 124.76, 125.02, 80962711
01/04/23, 126.89, 128.6557, 125.08, 126.36, 89113633
01/03/23, 130.28, 130.90, 124.17, 125.07, 112117508
12/30/22, 128.41, 129.95, 127.43, 129.93, 77034211
12/29/22, 127.99, 130.4814, 127.73, 129.61, 75703711
12/28/22, 129.67, 131.0275, 125.87, 126.04, 85438391
12/27/22, 131.38, 131.41, 128.72, 130.03, 69007828
12/23/22, 130.92, 132.415, 129.64, 131.86, 63814887
12/22/22, 134.352, 134.56, 130.30, 132.23, 77852109
12/21/22, 132.98, 136.81, 132.75, 135.45, 85927992
12/20/22, 131.39, 133.25, 129.89, 132.30, 77432812
12/19/22, 135.11, 135.20, 131.32, 132.37, 79592609
12/16/22, 136.685, 137.65, 133.73, 134.51, 160156891
12/15/22, 141.11, 141.80, 136.025, 136.50, 98931914
12/14/22, 145.35, 146.655, 141.16, 143.21, 82291188
12/13/22, 149.50, 149.9692, 144.24, 145.47, 93886156
12/12/22, 142.70, 144.50, 141.06, 144.49, 70462648
12/09/22, 142.34, 145.57, 140.90, 142.16, 76097008
12/08/22, 142.36, 143.52, 141.10, 142.65, 62128340
12/07/22, 142.19, 143.37, 140.00, 140.94, 69721086
12/06/22, 147.075, 147.30, 141.92, 142.91, 64727191
12/05/22, 147.77, 150.9199, 145.77, 146.63, 68826438
12/02/22, 145.96, 148.00, 145.65, 147.81, 65447449
12/01/22, 148.21, 149.13, 146.61, 148.31, 71250414
11/30/22, 141.395, 148.72, 140.55, 148.03, 111380898
11/29/22, 144.29, 144.81, 140.355, 141.17, 83763797
11/28/22, 145.14, 146.64, 143.38, 144.22, 69346523
11/25/22, 148.305, 148.88, 147.12, 148.11, 35195859
11/23/22, 149.45, 151.83, 149.34, 151.07, 58301398
11/22/22, 148.13, 150.42, 146.925, 150.18, 51804129
11/21/22, 150.16, 150.37, 147.715, 148.01, 58724070
11/18/22, 152.305, 152.70, 149.97, 151.29, 74829570
11/17/22, 146.43, 151.48, 146.15, 150.72, 80389398
11/16/22, 149.13, 149.87, 147.29, 148.79, 64218273
11/15/22, 152.215, 153.59, 148.5613, 150.04, 89868328
11/14/22, 148.97, 150.28, 147.43, 148.28, 73374109
11/11/22, 145.82, 150.01, 144.37, 149.70, 93979672
11/10/22, 141.24, 146.87, 139.50, 146.87, 118854000
11/09/22, 138.50, 138.55, 134.5933, 134.87, 74917789
11/08/22, 140.41, 141.43, 137.49, 139.50, 89908477
11/07/22, 137.11, 139.145, 135.671, 138.92, 83374633
11/04/22, 142.09, 142.67, 134.38, 138.38, 140814797
11/03/22, 142.06, 142.80, 138.75, 138.88, 97918523
11/02/22, 148.945, 152.17, 145.00, 145.03, 93604625
