Date, Open, High, Low, Close, Volume,sigma
2019-12-10,67.15,67.5175,66.465,67.12,90529524,0.011398297962406765
2019-12-11,67.2025,67.775,67.125,67.6925,78893564,0.011358604439658082
2019-12-12,66.945,68.14,66.8303,67.865,137748156,0.01118427984580624
2019-12-13,67.865,68.825,67.7325,68.7875,131677592,0.011276620824855928
2019-12-16,69.25,70.1975,69.245,69.965,128324436,0.011792685227823901
2019-12-17,69.8925,70.4425,69.7,70.1025,114303204,0.01171733377513375
2019-12-18,69.95,70.475,69.78,69.935,116098756,0.011267992439263935
2019-12-19,69.875,70.295,69.7375,70.005,98507796,0.011127576634361987
2019-12-20,70.5575,70.6625,69.64,69.86,276130936,0.011157368963620467
2019-12-23,70.1325,71.0625,70.0934,71.0,98711524,0.011075624799223296
2019-12-24,71.1725,71.2225,70.7299,71.0675,48478840,0.010759316191025563
2019-12-26,71.205,72.495,71.175,72.4775,93336000,0.011167483893647592
2019-12-27,72.78,73.4925,72.03,72.45,146371764,0.011116806193533328
2019-12-30,72.365,73.1725,71.305,72.88,144238436,0.010430630201304109
2019-12-31,72.4825,73.42,72.38,73.4125,100990524,0.008808295281306219
2020-01-02,74.06,75.15,73.7975,75.0875,135647436,0.009559638472932995
2020-01-03,74.2875,75.145,74.125,74.3575,146535516,0.010136864236473494
2020-01-06,73.4475,74.99,73.1875,74.95,118578564,0.00963213709189163
2020-01-07,74.96,75.225,74.37,74.5975,111510640,0.00878951426471489
2020-01-08,74.29,76.11,74.289,75.7975,132363796,0.009093461358768004
2020-01-09,76.8088,77.6075,76.55,77.4075,170486156,0.009701551478708652
2020-01-10,77.65,78.1675,77.0625,77.5825,140869092,0.009709312356644047
2020-01-13,77.91,79.2675,77.7875,79.24,122086884,0.010151116223249311
2020-01-14,79.175,79.3925,78.0425,78.17,162613844,0.010942797200879272
2020-01-15,77.9625,78.875,77.3875,77.835,121923524,0.011159786816583929
2020-01-16,78.3975,78.925,78.0225,78.81,108829000,0.011092403762782387
2020-01-17,79.0675,79.685,78.75,79.6825,137816484,0.011062359836299508
2020-01-21,79.2975,79.755,79.0,79.1425,110843244,0.01132385227240097
2020-01-22,79.645,79.9975,79.3275,79.425,101832476,0.011094403912373542
2020-01-23,79.48,79.89,78.9125,79.8075,104471960,0.011032380110134939
2020-01-24,80.0625,80.8325,79.3797,79.5775,146537516,0.010695818978403118
2020-01-27,77.515,77.9425,76.22,77.2375,161940032,0.013268100604547348
2020-01-28,78.15,79.6,78.0475,79.4225,162233952,0.01443946974011484
2020-01-29,81.1125,81.9625,80.345,81.085,216599720,0.014910294123748058
2020-01-30,80.136,81.0225,79.6875,80.9675,126743244,0.01436025467882956
2020-01-31,80.2325,80.67,77.0725,77.3775,199588408,0.017954066365143125
2020-02-03,76.075,78.3725,75.555,77.165,173985592,0.017932791405854076
2020-02-04,78.8275,79.91,78.4086,79.7125,136616516,0.019226907401226304
2020-02-05,80.88,81.19,79.7375,80.3625,118826884,0.019027477639084623
2020-02-06,80.6425,81.305,80.0662,81.3025,105425564,0.018648501368337674
2020-02-07,80.5925,80.85,79.5,80.0075,117684040,0.019135672295859957
2020-02-10,78.545,80.3875,78.4625,80.3875,109348884,0.018562799861232188
2020-02-11,80.9,80.975,79.6775,79.9025,94323116,0.018317807220617512
2020-02-12,80.3675,81.805,80.3675,81.8,113730280,0.018959443198839576
2020-02-13,81.0475,81.555,80.8375,81.2175,94747564,0.018934675033499007
2020-02-14,81.185,81.495,80.7125,81.2375,80113796,0.01880120236597083
2020-02-18,78.84,79.9375,78.6525,79.75,152762204,0.01925333978744354
2020-02-19,80.0,81.1425,80.0,80.905,93983960,0.019508605533752218
2020-02-20,80.6575,81.1625,79.5525,80.075,100565960,0.01965735607077802
2020-02-21,79.655,80.1125,77.625,78.2625,129705680,0.020348538208172052
2020-02-24,74.315,76.045,72.3075,74.545,222195328,0.022114500550987903
2020-02-25,75.2375,75.6325,71.5325,72.02,230673436,0.022039970055428567
2020-02-26,71.6325,74.47,71.625,73.1625,198713736,0.02173848863147777
2020-02-27,70.275,71.5,68.24,68.38,320605500,0.025713158426955932
2020-02-28,64.315,69.6025,64.0925,68.34,426884812,0.02424584650732522
2020-03-02,70.57,75.36,69.43,74.7025,341397376,0.03329396176131211
2020-03-03,75.9175,76.0,71.45,72.33,319475408,0.03291142692226613
2020-03-04,74.11,75.85,73.2825,75.685,219178264,0.034846066906456634
2020-03-05,73.88,74.8875,72.8525,73.23,187572876,0.035309107885711
2020-03-06,70.5,72.705,70.3075,72.2575,226176984,0.035268390939225285
2020-03-09,65.9375,69.5225,65.75,66.5425,286744844,0.03905341616873969
2020-03-10,69.285,71.61,67.3425,71.335,285290092,0.043279615278823305
2020-03-11,69.3475,70.305,67.965,68.8575,256379876,0.04319548042380999
2020-03-12,63.985,67.5,62.0,62.0575,418473968,0.04793021543723677
2020-03-13,66.2225,69.98,63.2375,69.4925,370732124,0.05679162907767085
2020-03-16,60.4875,64.77,60.0,60.5525,322423500,0.06331364051833169
2020-03-17,61.8775,64.4025,59.6,63.215,324055876,0.06436415469405368
2020-03-18,59.9425,62.5,59.28,61.6675,300233624,0.06443849531182777
2020-03-19,61.8463,63.21,60.6525,61.195,271857032,0.06438866367584542
2020-03-20,61.795,62.9575,57.0,57.31,401693188,0.0649951026924689
2020-03-23,57.02,57.1249,53.1525,56.0925,336752844,0.06482050855144399
2020-03-24,59.09,61.9225,58.575,61.72,287531064,0.06949781228254916
2020-03-25,62.6875,64.5625,61.075,61.38,303602064,0.06802825195744433
2020-03-26,61.63,64.67,61.59,64.61,252560672,0.06923830635745547
2020-03-27,63.1875,63.9675,61.7625,61.935,204216608,0.06591380267954877
2020-03-30,62.685,63.88,62.35,63.7025,167976452,0.06614503480378962
2020-03-31,63.9,65.6225,63.0,63.5725,197002000,0.06499506180529586
2020-04-01,61.625,62.18,59.7825,60.2275,176218564,0.0655937077727554
2020-04-02,60.085,61.2875,59.225,61.2325,165933952,0.06582445227026934
2020-04-03,60.7,61.425,59.7435,60.3525,129880080,0.06349902241431205
2020-04-06,62.725,65.7775,62.345,65.6175,200337200,0.06458714891174985
2020-04-07,67.7,67.925,64.75,64.8575,202887328,0.06416048705113957
2020-04-08,65.685,66.8425,65.3075,66.5175,168895280,0.059853017232938656
2020-04-09,67.175,67.5175,66.175,66.9975,162116484,0.053082526442827516
2020-04-13,67.0775,68.425,66.4575,68.3125,131022920,0.04318371636556528
2020-04-14,70.0,72.0625,69.5125,71.7625,194994688,0.04351720662380933
2020-04-15,70.6,71.5825,70.1575,71.1075,131154564,0.04302869875817861
2020-04-16,71.845,72.0494,70.5875,71.6725,157125156,0.042853958525176934
2020-04-17,71.1725,71.7363,69.215,70.7,215249920,0.039552895123864944
2020-04-20,69.4875,70.42,69.2125,69.2325,130015000,0.039530402359253466
2020-04-21,69.07,69.3125,66.3575,67.0925,180991548,0.03433837049012975
2020-04-22,68.4025,69.475,68.05,69.025,117057360,0.03465843928447835
2020-04-23,68.9675,70.4375,68.7175,68.7575,124814320,0.03288294317446475
2020-04-24,69.3,70.7525,69.25,70.7425,126508720,0.0314384187130537
2020-04-27,70.45,71.135,69.9875,70.7925,117087564,0.031048849966011254
2020-04-28,71.27,71.4575,69.55,69.645,112004756,0.03142106895319775
2020-04-29,71.1825,72.4175,70.9725,71.9325,137280796,0.028670332333340556
2020-04-30,72.49,73.6325,72.0875,73.45,183063876,0.028747172320199618
2020-05-01,71.5625,74.75,71.4625,72.2675,240616720,0.028831174983656654
2020-05-04,72.2925,73.4225,71.5793,73.29,133567952,0.022009765865648127
2020-05-05,73.765,75.25,73.615,74.39,147751204,0.021668086750501914
2020-05-06,75.115,75.81,74.7175,75.1575,142333764,0.021237089843932425
2020-05-07,75.805,76.2925,75.4925,75.935,115215040,0.02125376499108486
2020-05-08,76.41,77.5875,76.0725,77.5325,134047952,0.021303360020009852
2020-05-11,77.025,79.2625,76.81,78.7525,145946236,0.01868173211925281
2020-05-12,79.4575,79.922,77.7275,77.8525,162301048,0.018786034934750055
2020-05-13,78.0375,78.9875,75.8025,76.9125,200622564,0.01916614954383629
2020-05-14,76.1275,77.4475,75.3825,77.385,158929092,0.018696100427205396
